Date,Singapore,Australia,Canada,Germany,Japan,Switzerland,U.K.,U.S. NASDAQ,U.S.,France,Netherlands,Sweden,Italy,China,Chile,Indonesia,Philippines,Poland,US SmallCap,Malaysia,Taiwan,Mexico,Korea,Brazil,South Africa,Denmark,India,China,Hong Kong,Thailand,Turkey,Spain,Vietnam,Saudi Arabia
4/28/06,15.5182,15.1726,14.1744,14.6264,20.1553,17.1245,12.1748,17.427,15.4111,13.8818,14.8554,15.5865,13.5649,14.4967,20.3137,13.2284,14.0663,13.9264,10.4572,14.3641,12.4244,14.9297,10.4502,10.0901,12.4174,17.3281,22.397,13.2988,15.9143,10.5958,12.1339,13.5777,,
5/31/06,13.6124,14.2731,13.9636,13.1912,18.4213,16.0421,11.8361,17.0049,15.0309,12.9351,12.4154,13.926,12.8469,15.5801,19.4911,11.7106,14.1742,11.8312,7.8715,13.7779,11.7435,13.032,9.4309,9.2738,11.6114,16.5379,16.2138,12.2837,14.9123,9.7114,9.677,12.7773,,
6/30/06,14.0553,14.506,14.198,13.2768,18.7768,16.4761,12.0321,17.0042,14.9478,13.3662,12.7063,13.8296,12.8836,15.7541,19.3658,11.7834,13.082,12.2485,8.0086,13.6657,11.7769,12.7061,9.6881,9.4257,11.8989,16.3362,16.8507,12.1033,14.994,9.3045,9.5597,12.7765,,
7/31/06,13.9038,14.2188,14.1565,12.983,18.3708,16.6413,11.8125,17.4922,14.9489,13.0927,12.9336,13.206,12.5534,15.9798,19.4804,12.3139,14.5704,13.4085,5.9596,13.9637,11.7103,13.7845,9.8833,10.1268,11.5468,16.3082,16.9733,12.8145,15.2806,9.6661,9.9084,12.9562,,
8/31/06,14.1943,13.9525,14.2572,13.3114,18.9069,16.8779,11.6118,14.9573,15.218,13.1428,13.1705,13.732,12.8968,16.2481,20.1387,13.3687,13.9717,11.9346,5.0954,14.2495,12.3762,14.1632,10.1773,9.8133,12.061,17.4505,18.3895,12.9447,15.5068,9.6168,10.6099,13.0918,,
9/29/06,14.7778,13.8834,14.39,13.8264,18.6235,17.3045,11.6618,15.6449,13.1986,13.3545,13.5911,14.429,12.8748,17.3023,20.8212,14.2044,15.5486,11.9808,5.1892,14.3405,13.0964,14.6879,10.3555,9.9041,12.2023,18.1361,19.3238,13.3307,15.2314,9.5417,10.4416,13.8612,,
10/31/06,15.2646,14.3005,14.9682,14.4705,18.9102,17.5087,11.8918,14.771,15.9058,13.7599,12.6799,14.4135,12.9661,17.5363,21.8341,14.5807,16.3043,12.7044,4.9623,14.6786,13.1638,15.737,10.447,10.6908,13.0675,18.6374,19.9994,14.1758,15.0858,10.1486,11.8939,14.5517,,
11/30/06,15.9557,14.3717,15.7745,14.4628,18.6403,17.4228,11.8904,17.1392,16.1833,13.7515,12.4099,14.2925,13.1029,20.8959,23.2446,15.4609,16.281,13.2712,5.9849,16.0168,14.4096,16.2116,11.1023,11.3053,13.5939,18.7861,20.8304,15.8819,15.2371,10.5366,11.0356,13.9557,,
12/29/06,16.8574,15.0223,15.6738,15.1026,19.4932,17.9932,12.1769,17.0605,16.3525,14.43,12.7643,15.3274,13.4721,27.6389,24.477,15.8773,17.017,13.7391,4.8257,16.0082,14.9215,16.523,11.6301,11.9314,14.7948,19.504,21.1055,18.2443,16.1428,9.7437,10.8943,14.4615,,
1/31/07,16.1268,15.4602,15.7885,14.6652,19.3497,18.7687,11.875,19.3736,16.5875,14.5983,14.1087,15.5475,13.4275,28.5528,14.9355,15.3653,17.9683,14.6921,5.6668,17.2181,14.6917,16.2504,11.1828,12.2793,15.4245,20.0936,21.3807,17.4187,16.7949,9.4248,11.263,14.7472,,
2/28/07,17.0229,14.0935,14.9587,14.2418,18.6922,16.0841,11.3024,21.8806,15.1965,15.0894,13.3488,14.7857,13.0819,29.5023,14.9814,14.8676,16.4172,13.0893,14.6549,14.8762,14.89,13.7434,11.8122,11.9792,15.332,19.1846,19.4489,17.1358,16.1931,9.8067,11.1859,13.6852,,
3/30/07,17.612,13.8381,15.1595,14.0212,18.3588,16.4397,12.237,20.2038,15.3093,13.6015,14.1378,15.6239,12.8658,30.2747,15.7424,12.8976,16.9357,15.0376,5.8051,15.6331,14.5728,14.5614,12.1018,11.0392,15.5157,14.9608,19.2684,17.3284,14.0514,9.8928,11.5479,13.8623,,
